contest,input_specification,letter,main_text,memory_limit,output_specification,tags,time_limit,title
1,The input contains three positive integer numbers in the first line n m and a 1 n m a 109,A,Theatre Square in the capital city of Berland has a rectangular shape with the size n m meters On the occasion of the city s anniversary a decision was taken to pave the Square with square granite flagstones Each flagstone is of the size a a What is the least number of flagstones needed to pave the Square It s allowed to cover the surface larger than the Theatre Square but the Square has to be covered It s not allowed to break the flagstones The sides of flagstones should be parallel to the sides of the Square,256 megabytes,Write the needed number of flagstones,['math'],1 second,A Theatre Square
1,The first line of the input contains integer number n 1 n 105 the number of coordinates in the test Then there follow n lines each of them contains coordinates All the coordinates are correct there are no cells with the column and or the row numbers larger than 106,B,In the popular spreadsheets systems for example in Excel the following numeration of columns is used The first column has number A the second number B etc till column 26 that is marked by Z Then there are two-letter numbers column 27 has number AA 28 AB column 52 is marked by AZ After ZZ there follow three-letter numbers etc The rows are marked by integer numbers starting with 1 The cell name is the concatenation of the column and the row numbers For example BC23 is the name for the cell that is in column 55 row 23 Sometimes another numeration system is used RXCY where X and Y are integer numbers showing the column and the row numbers respectfully For instance R23C55 is the cell from the previous example Your task is to write a program that reads the given sequence of cell coordinates and produce each item written according to the rules of another numeration system,64 megabytes,Write n lines each line should contain a cell coordinates in the other numeration system,['implementation'/ 'math'],10 seconds,B Spreadsheets
1,The input file consists of three lines each of them contains a pair of numbers coordinates of the pillar Any coordinate doesn t exceed 1000 by absolute value and is given with at most six digits after decimal point,C,Nowadays all circuses in Berland have a round arena with diameter 13 meters but in the past things were different In Ancient Berland arenas in circuses were shaped as a regular equiangular polygon the size and the number of angles could vary from one circus to another In each corner of the arena there was a special pillar and the rope strung between the pillars marked the arena edges Recently the scientists from Berland have discovered the remains of the ancient circus arena They found only three pillars the others were destroyed by the time You are given the coordinates of these three pillars Find out what is the smallest area that the arena could have,64 megabytes,Output the smallest possible area of the ancient arena This number should be accurate to at least 6 digits after the decimal point It s guaranteed that the number of angles in the optimal polygon is not larger than 100,['geometry'/ 'math'],2 seconds,C Ancient Berland Circus
10,The first line contains 6 integer numbers n P1 P2 P3 T1 T2 1 n 100 0 P1 P2 P3 100 1 T1 T2 60 The following n lines contain description of Tom s work Each i-th of these lines contains two space-separated integers li and ri 0 li ri 1440 ri li 1 for i n which stand for the start and the end of the i-th period of work,A,Tom is interested in power consumption of his favourite laptop His laptop has three modes In normal mode laptop consumes P1 watt per minute T1 minutes after Tom moved the mouse or touched the keyboard for the last time a screensaver starts and power consumption changes to P2 watt per minute Finally after T2 minutes from the start of the screensaver laptop switches to the sleep mode and consumes P3 watt per minute If Tom moves the mouse or touches the keyboard when the laptop is in the second or in the third mode it switches to the first normal mode Tom s work with the laptop can be divided into n time periods l1 r1 l2 r2 ln rn During each interval Tom continuously moves the mouse and presses buttons on the keyboard Between the periods Tom stays away from the laptop Find out the total amount of power consumed by the laptop during the period l1 rn,256 megabytes,Output the answer to the problem,['implementation'],1 second,A Power Consumption Calculation
10,The first line contains two integers N and K 1 N 1000 1 K 99 the amount of requests and the hall size respectively The second line contains N space-separated integers Mi from the range 1 K requests to the program,B,All cinema halls in Berland are rectangles with K rows of K seats each and K is an odd number Rows and seats are numbered from 1 to K For safety reasons people who come to the box office to buy tickets are not allowed to choose seats themselves Formerly the choice was made by a cashier but now this is the responsibility of a special seating program It was found out that the large majority of Berland s inhabitants go to the cinema in order to watch a movie that s why they want to sit as close to the hall center as possible Moreover a company of M people who come to watch a movie want necessarily to occupy M successive seats in one row Let s formulate the algorithm according to which the program chooses seats and sells tickets As the request for M seats comes the program should determine the row number x and the segment yl yr of the seats numbers in this row where yr - yl 1 M From all such possible variants as a final result the program should choose the one with the minimum function value of total seats remoteness from the center Say the row and the seat numbers of the most central seat Then the function value of seats remoteness from the hall center is If the amount of minimum function values is more than one the program should choose the one that is closer to the screen i e the row number x is lower If the variants are still multiple it should choose the one with the minimum yl If you did not get yet your task is to simulate the work of this program,256 megabytes,Output N lines In the i-th line output -1 without quotes if it is impossible to find Mi successive seats in one row otherwise output three numbers x yl yr Separate the numbers with a space,['dp'/ 'implementation'],1 second,B Cinema Cashier
10,The first line contains the only number N 1 N 106,C,Not long ago Billy came across such a problem where there were given three natural numbers A B and C from the range 1 N and it was asked to check whether the equation AB C is correct Recently Billy studied the concept of a digital root of a number We should remind you that a digital root d x of the number x is the sum s x of all the digits of this number if s x 9 otherwise it is d s x For example a digital root of the number 6543 is calculated as follows d 6543 d 6 5 4 3 d 18 9 Billy has counted that the digital root of a product of numbers is equal to the digital root of the product of the factors digital roots i e d xy d d x d y And the following solution to the problem came to his mind to calculate the digital roots and check if this condition is met However Billy has doubts that this condition is sufficient That s why he asks you to find out the amount of test examples for the given problem such that the algorithm proposed by Billy makes mistakes,256 megabytes,Output one number the amount of required A B and C from the range 1 N,['number theory'],2 seconds,C Digital Root
10,The first line contains an integer n 1 n 500 the length of the first sequence The second line contains n space-separated integers from the range 0 109 elements of the first sequence The third line contains an integer m 1 m 500 the length of the second sequence The fourth line contains m space-separated integers from the range 0 109 elements of the second sequence,D,This problem differs from one which was on the online contest The sequence a1 a2 an is called increasing if ai ai 1 for i n The sequence s1 s2 sk is called the subsequence of the sequence a1 a2 an if there exist such a set of indexes 1 i1 i2 ik n that aij sj In other words the sequence s can be derived from the sequence a by crossing out some elements You are given two sequences of integer numbers You are to find their longest common increasing subsequence i e an increasing sequence of maximum length that is the subsequence of both sequences,256 megabytes,In the first line output k the length of the longest common increasing subsequence In the second line output the subsequence itself Separate the elements with a space If there are several solutions output any,['dp'],1 second,D LCIS
10,The first line contains an integer n 1 n 400 the amount of the coins face values The second line contains n integers ai 1 ai 109 describing the face values It is guaranteed that a1 a2 an and an 1,E,Billy investigates the question of applying greedy algorithm to different spheres of life At the moment he is studying the application of greedy algorithm to the problem about change There is an amount of n coins of different face values and the coins of each value are not limited in number The task is to collect the sum x with the minimum amount of coins Greedy algorithm with each its step takes the coin of the highest face value not exceeding x Obviously if among the coins face values exists the face value 1 any sum x can be collected with the help of greedy algorithm However greedy algorithm does not always give the optimal representation of the sum i e the representation with the minimum amount of coins For example if there are face values 1 3 4 and it is asked to collect the sum 6 greedy algorithm will represent the sum as 4 1 1 while the optimal representation is 3 3 containing one coin less By the given set of face values find out if there exist such a sum x that greedy algorithm will collect in a non-optimal way If such a sum exists find out the smallest of these sums,256 megabytes,If greedy algorithm collects any sum in an optimal way output -1 Otherwise output the smallest sum that greedy algorithm collects in a non-optimal way,['constructive algorithms'],2 seconds,E Greedy Change
100,The input consists of three integer numbers n k and n1 10 n 12 1 k 10,A,Soroush s room is a square with side length n Before this contest he bought k fine Persian carpets to carpet his room for celebrating the 100th contest on his favorite site Each Persian carpet is a square of side length n1 Soroush wants to cover all the area of his room Carpets can be put over each other but it is not allowed to rotate the carpets Can Soroush carpet his room completely,64 megabytes,Write a single YES or NO Write YES if and only if Sorush can carpet his room completely,['special problem'/ 'implementation'],2 seconds,A Carpeting the Room
100,The first line contains n 1 n 1000 where n the number of integers in the group The next line contains the elements sorted in the non-decreasing order The numbers are comma separated they have at most 7 digits in their decimal notation and do not have any leading zeros,B,Kiana thinks two integers are friends if and only if one of them divides the other one For example 12 and 4 are friends also 6 and 6 are friends too but 120 and 36 are not A group of non-zero integers is called friendly if each pair of its integers form a friend pair You are given a group of non-zero integers See if they re friendly,256 megabytes,If the group is friendly write FRIENDS else write NOT FRIENDS,['special problem'/ 'implementation'],2 seconds,B Friendly Numbers
